# FractureId; NumTraces
0; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
1; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
2; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
3; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
4; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
5; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
6; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
7; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
8; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
9; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
10; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
11; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
12; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
13; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
14; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
15; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
16; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
17; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
18; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
19; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
20; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
21; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
22; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
23; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
24; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
25; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
26; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
27; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
28; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
29; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
30; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
31; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
32; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
33; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
34; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
35; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
36; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
37; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
38; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
39; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
40; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
41; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
42; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
43; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
44; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
45; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
46; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
47; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
48; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
49; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
50; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
51; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
52; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
53; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
54; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
55; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
56; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
57; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
58; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
59; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
60; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
61; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
62; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
63; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
64; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
65; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
66; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
67; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
68; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
69; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
70; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
71; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
72; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
73; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
74; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
75; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
76; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
77; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
78; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
79; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
80; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
81; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
82; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
83; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
84; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
85; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
86; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
87; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
88; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
89; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
90; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
91; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
92; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
93; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
94; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
95; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
96; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
97; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
98; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
99; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
100; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
101; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
102; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
103; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
104; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
105; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
106; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
107; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
108; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
109; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
110; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
111; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
112; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
113; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
114; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
115; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
116; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
117; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
118; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
119; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
120; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
121; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
122; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
123; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
124; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
125; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
126; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
127; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
128; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
129; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
130; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
131; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
132; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
133; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
134; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
135; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
136; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
137; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
138; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
139; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
140; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
141; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
142; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
143; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
144; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
145; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
146; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
147; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
148; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
149; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
150; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
151; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
152; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
153; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
154; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
155; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
156; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
157; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
158; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
159; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
160; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
161; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
162; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
163; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
164; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
165; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
166; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
167; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
168; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
169; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
170; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
171; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
172; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
173; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
174; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
175; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
176; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
177; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
178; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
179; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
180; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
181; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
182; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
183; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
184; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
185; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
186; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
187; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
188; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
189; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
190; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
191; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
192; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
193; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
194; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
195; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
196; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
197; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
198; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
199; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
200; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
201; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
202; 0
# TraceId; Tips; Lenght

# FractureId; NumTraces
203; 0
